Year,Units,Series,Zeitreihe,Bereich,Rohstoffkategorie,Kategorie der letzten Verwendung,Value
2010,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,100.0
2011,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,97.4
2012,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,101.7
2013,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,101.7
2014,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,102.6
2015,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,106.8
2016,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,106.0
2017,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,109.4
2018,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,109.4
2019,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,112.8
2020,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,112.0
2021,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,114.5
2030,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,
2010,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,100.0
2011,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,105.0
2012,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,105.0
2013,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,106.7
2014,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,109.2
2015,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,112.5
2016,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,115.8
2017,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,119.2
2018,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,121.7
2019,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,123.3
2020,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,117.5
2021,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,122.5
2030,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,
2010,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,100.0
2011,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,106.8
2012,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,102.9
2013,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,103.9
2014,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,105.8
2015,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,104.9
2016,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,108.7
2017,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,108.7
2018,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,110.7
2019,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,108.7
2020,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,104.9
2021,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,106.8
2030,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,,,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2614.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2803.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2697.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2726.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2773.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2736.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2844.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2851.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2899.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2858.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2741.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,2794.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,,,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1358.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1434.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1407.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1437.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1471.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1486.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1558.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1523.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1557.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1532.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1473.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,1517.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1256.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1369.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1290.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1289.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1302.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1250.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1286.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1328.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1342.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1327.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1268.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,1277.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,330.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,342.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,341.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,346.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,353.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,373.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,377.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,384.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,415.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,382.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,361.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,388.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Fossile Energieträger,,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,710.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,757.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,743.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,758.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,776.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,766.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,834.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,783.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,796.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,794.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,771.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,771.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Erze,,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,154.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,167.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,146.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,155.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,148.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,158.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,159.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,166.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,170.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,171.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,150.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,166.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,"Steine, Erden und Industrieminerale",,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,164.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,168.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,177.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,179.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,194.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,189.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,188.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,190.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,175.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,185.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,191.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,192.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,,368.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,,377.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,,364.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,,372.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,,360.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,,354.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,,346.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,,353.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,,345.0
